teamCode,wins,losses,madePlayoffs,coachName
CLE,64,18,1,Kenny Atkinson
BOS,61,21,1,Joe Mazzulla
NY,51,31,1,Tom Thibodeau
IND,50,32,1,Rick Carlisle
MIL,48,34,1,Doc Rivers
DET,44,38,1,J. B. Bickerstaff
ORL,41,41,1,Jamahl Mosley
MIA,37,45,1,Erik Spoelstra
ATL,40,42,0,Quin Snyder
CHI,39,43,0,Billy Donovan
TOR,30,52,-1,Darko Rajakovic
BKN,26,56,-1,Jordi Fernandez
PHI,24,58,-1,Nick Nurse
CHA,19,63,-1,Charles Lee
WSH,18,64,-1,Brian Keefe
OKC,68,14,1,Mark Daigneault
HOU,52,30,1,Ime Udoka
LAL,50,32,1,JJ Reddick 
DEN,50,32,1,Michael Malone
LAC,50,32,1,Tyronn Lue
MIN,49,33,1,Chris Finch
GS,48,34,1,Steve Kerr
MEM,48,34,1,Taylor Jenkins
SAC,40,42,0,Mike Brown
DAL,39,43,0,Jason Kidd
PHX,36,46,-1,Mike Budenholzer
POR,36,46,-1,Chauncey Billups
SA,34,48,-1,Gregg Popovich
NO,21,61,-1,Willie Green
UTAH,17,65,-1,Will Hardy
